gene	32170378_EXO_S26	32161454_EXO_S20	32160526_EXO_S15	32152086_EXO_S7	32151130_EXO_S2	32151185_EXO_S4	32170440_EXO_S27	32152175_EXO_S9	32152337_EXO_S10	32151033_EXO_S1	32170273_EXO_S23	181023-190319_Brain_S29	32152088_EXO_S8	32151825_EXO_S6	32151151_EXO_S3	32170329_EXO_S24	32170337_EXO_S25	32160079_EXO_S13	32152347_EXO_S11	32160791_EXO_S16	32161000_EXO_S17	32160288_EXO_S14	32170032_EXO_S21	32170447_EXO_S28	32160018_EXO_S12	32170073_EXO_S22	32161249_EXO_S19	32151764_EXO_S5	32161037_EXO_S18
hsa-miR-190a-3p	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.478935497911355	0.0	16.488442139726644	0.0	0.0	0.0	0.0	3.362987408975141	8.306834304937896	0.0	0.0	0.0	28.901787995129585	3.206225720855729	0.0	10.629369202210569	0.0	0.0	0.0	0.0	0.0
hsa-miR-1182	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.5406179004653326	55.75512349759855	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-4440	0.0	0.0	0.0	0.0	0.0	10.866712251131391	8.208142066522887	0.0	0.0	0.0	0.0	1.801169372808681	0.0	0.0	0.0	2.615656873647332	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-1181	0.0	0.0	0.0	0.8543357539513028	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.9959074542398967	47.79010585508447	0.0	0.0	11.653946772229672	0.0	0.0	0.4251747680884228	65.75018218279646	0.0	0.0	0.0	0.0
hsa-miR-551a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.3512321952942012	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-330-5p	66.58271122504152	0.48883190195205245	0.0	46.134130713370354	0.0	0.0	0.0	0.5185431013025803	0.0	0.0	0.0	153.96165862252928	0.0	0.0	0.421027458568793	5.604979014958568	1.9064865617890252	31.860070570056315	0.0	0.0	0.0	9.191180399786424	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-10395-3p	0.0	0.0	0.0	47.842802221272954	0.0	9.194910366341945	0.0	12.445034431261927	0.0	0.0	0.0	0.07664550522590131	0.0	36.4329574502444	0.0	0.0	0.0	11.947526463771117	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.160476722330681	0.0	0.0	0.0
hsa-miR-1233-3p	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03832275261295066	0.0	0.0	0.0	0.0	0.0	0.0	50.86551692750861	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-6514-5p	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.2957567247137565	0.0	0.0	0.0	2.241991605983427	5.991814908479793	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-382-3p	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	560.8918072431459	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.746539134474529	0.0	0.0	0.0	0.0	0.0	0.30802383611653406	0.0	0.0	0.0
hsa-miR-616-3p	0.0	0.0	0.0	0.0	0.0	0.0	6.612114442476771	0.0	0.0	0.0	0.0	3.717307003456214	0.0	0.0	0.0	1.1209958029917135	0.0	0.0	69.60544421659073	0.0	0.0	0.0	101.65953543851406	0.0	5.479181848566372	25.257954561555792	0.0	1.1708134929230178	0.0
hsa-miR-32-3p	0.0	0.0	0.0	0.0	0.0	0.0	27.816481447660898	0.0	24.180667901450903	0.0	0.0	16.86201114969829	39.25810898051053	0.0	41.26069093974171	26.156568736473318	17.97544472543938	17.921289695656675	0.0	0.0	0.0	30.352270157434237	0.0	0.0	0.0	12.012929608544828	14.333732288882041	0.0	0.0
