gene	32160965_EXO_S9	32160622_EXO_S5	32161245_EXO_S17	32170434_EXO_S28	32160340_EXO_S2	32161045_EXO_S12	32170383_EXO_S25	32170272_EXO_S24	32160628_EXO_S6	32161104_EXO_S15	32161237_EXO_S16	32170016_EXO_S20	181004-190521_Brain_S35	32161013_EXO_S11	32170385_EXO_S26	32150161_EXO_S32	32160612_EXO_S4	32161253_EXO_S18	32170268_EXO_S22	32170269_EXO_S23	32150116_EXO_S31	32161004_EXO_S10	32161392_EXO_S19	32160765_EXO_S8	32170450_EXO_S29	32160373_EXO_S3	32160284_EXO_S1	32170409_EXO_S27	32170083_EXO_S21	32161065_EXO_S14	32150978_EXO_S34	32161046_EXO_S13	32160670_EXO_S7	32170652_EXO_S30	32150704_EXO_S33
hsa-miR-422a	1.2756094543070315	0.6045420452947082	0.7265852455240532	0.22797291499391542	0.0	0.0	0.9504366305880921	1.1649381573163553	0.616408802317697	0.0	0.0	0.1833422559897915	0.2549972950002854	0.345651667458209	0.7642630593450266	1.4144151534781884	0.0	0.23180267843358876	0.0	0.0	0.160812398507275	0.45087248334251606	0.0	0.0	0.2620205874815996	0.0	0.0	0.0	0.0	0.42608310324845755	0.0	0.0	0.0	1.6440121788422206	0.0
hsa-miR-5689	25.51218908614063	6.851476513340026	2.17975573657216	23.253237329379374	7.1865833023003605	7.3897814102658845	8.553929675292828	1.553250876421807	8.629723232447759	57.708865697619395	1.4026445460270796	0.0	0.0	1.382606669832836	4.58557835607016	25.459472762607387	22.243697001302493	5.56326428240613	26.98217827125184	85.55710508979219	3.53787276716005	0.9017449666850321	8.909955984817435	14.312550317559712	2.096164699852797	240.11107747236113	14.212519808699483	252.70559797835523	0.0	25.56498619490745	561.4472863381161	21.19418643466097	0.0	0.46971776538349164	1.2357090251244358
hsa-miR-501-5p	36.99267417490391	49.572447714166074	132.23851468537768	94.83673263746881	43.119499813802165	87.1216334683978	60.8279443576379	122.70681923732275	70.27060346421747	0.0	67.32693820929981	105.23845493814032	8.275821301372899	89.17813020421792	85.59746264664298	149.92800626868797	34.601306446470545	62.58672317706896	26.98217827125184	64.16782881734413	109.99568057897609	110.46375841891644	213.83894363561845	232.57894266034532	66.8152498078079	5.219806032007851	227.40031693919173	98.8847992089216	58.950197093866514	7.669495858472236	0.0	74.1796525213134	0.0	61.298168382545654	7.002351142371803
hsa-miR-5688	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.9540803530076625	0.0	0.0	0.0	0.45087248334251606	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-455-5p	0.0	8.060560603929442	10.898778682860799	7.2951332798052935	6.533257547545782	0.0	0.0	10.484443415847197	0.0	0.0	0.0	12.833957919285405	1.8081626372747512	0.0	22.927891780350798	0.0	0.0	1.85442142746871	47.21881197469072	0.0	4.18112236118915	0.0	0.0	0.0	3.144247049779195	0.0	0.0	93.39119925287041	12.23494656665154	39.1996454988581	0.0	63.58255930398291	0.0	0.0	0.0
hsa-miR-5685	0.0	0.0	0.0	0.0	0.6533257547545782	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-5684	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3824959425004281	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.45087248334251606	0.0	0.0	0.0	0.0	0.0	0.0	5.561339348477973	0.0	0.0	0.0	22.9837504884047	0.0	0.0
hsa-miR-11181-5p	2.551218908614063	0.0	0.0	0.45594582998783084	14.373166604600721	0.0	0.0	0.38831271910545173	0.0	4.6167092558095515	0.0	2.566791583857081	0.0	0.0	1.5285261186900532	2.8288303069563767	0.0	0.927210713734355	0.0	17.11142101795844	0.0	0.45087248334251606	0.0	3.578137579389928	2.620205874815996	73.0772844481099	14.212519808699483	0.0	1.1122678696955945	0.0	0.0	21.19418643466097	0.0	0.0	0.0
hsa-miR-5683	0.0	0.0	5.812681964192426	0.0	0.0	0.0	0.0	0.38831271910545173	0.0	0.0	0.0	0.0	0.27817886727303864	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-5682	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6954471681825966	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-5680	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.1906585797751794	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-3152-5p	1.2756094543070315	0.0	0.0	0.45594582998783084	0.0	0.0	1.9008732611761843	0.0	0.0	0.0	0.4675481820090265	0.0	0.13908943363651932	0.0	1.5285261186900532	0.0	4.943043778067221	0.0	0.0	0.0	0.32162479701455	0.0	0.0	0.0	1.0480823499263985	0.0	0.0	0.0	1.1122678696955945	0.0	0.0	0.0	0.0	0.0	0.823806016749624
